 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,31,255,0,255,255,255,290.435,308.145,290.435,308.145,26.971,288,303,5,11,11.426,3.454,70.301,0.536,12.083,7905,255,NaN,NaN,100,7905,288,314,65.556,4.428,3.308,0.302,0.816
2,80,255,0,255,255,255,1286.350,1007.900,1286.350,1007.900,39.799,1283,999,8,16,15.571,6.541,106.775,0.635,17.088,20400,255,NaN,NaN,100,20400,1284,999,110.556,7.907,2.380,0.420,0.870
3,621,255,0,255,255,255,2571.043,1257.991,2571.043,1257.991,111.983,2558,1238,22,41,36.463,21.684,91.787,0.622,41.593,158355,255,NaN,NaN,100,158355,2573,1238,99.689,22.000,1.682,0.595,0.924
4,53,255,0,255,255,255,2219.953,1482.255,2219.953,1482.255,32.042,2214,1478,10,10,11.154,6.050,132.225,0.649,12.806,13515,255,NaN,NaN,100,13515,2214,1478,128.660,7.002,1.844,0.542,0.815
5,20,255,0,255,255,255,200.500,1751.800,200.500,1751.800,21.899,196,1750,10,3,8.588,2.965,175.927,0.524,10.050,5100,255,NaN,NaN,100,5100,196,1752,174.289,3.000,2.897,0.345,0.833
6,32,255,0,255,255,255,1863.500,1787.469,1863.500,1787.469,26.042,1858,1784,10,7,9.625,4.233,156.672,0.593,10.770,8160,255,NaN,NaN,100,8160,1858,1786,158.199,5.694,2.274,0.440,0.719
