 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,268,255,0,255,255,255,5.325,96.724,5.325,96.724,77.355,0,81,13,28,27.208,12.541,98.368,0.563,29.069,68340,255,NaN,NaN,100,68340,0,81,116.565,13.000,2.169,0.461,0.907
2,869,255,0,255,255,255,1369.926,143.533,1369.926,143.533,132.024,1353,127,36,36,35.154,31.474,136.725,0.627,39.825,221595,255,NaN,NaN,100,221595,1360,128,118.496,33.742,1.117,0.895,0.872
3,898,255,0,255,255,255,394.806,235.614,394.806,235.614,126.024,377,218,36,34,35.540,32.171,11.480,0.711,37.162,228990,255,NaN,NaN,100,228990,378,243,23.806,34.000,1.105,0.905,0.917
4,52,255,0,255,255,255,1664.481,475.500,1664.481,475.500,31.213,1660,470,8,11,9.402,7.042,68.215,0.671,11.180,13260,255,NaN,NaN,100,13260,1664,481,79.695,8.000,1.335,0.749,0.770
5,21,255,0,255,255,255,2484.786,1082.262,2484.786,1082.262,18.485,2483,1078,4,7,6.655,4.018,108.278,0.772,8.062,5355,255,NaN,NaN,100,5355,2483,1078,119.745,4.000,1.656,0.604,0.894
6,995,255,0,255,255,255,1162.745,1602.120,1162.745,1602.120,120.125,1144,1584,36,37,35.909,35.280,80.803,0.866,38.079,253725,255,NaN,NaN,100,253725,1157,1620,66.801,35.782,1.018,0.983,0.949
7,29,255,0,255,255,255,1057.155,1619.466,1057.155,1619.466,24.142,1054,1615,5,10,8.047,4.588,98.799,0.625,10.050,7395,255,NaN,NaN,100,7395,1058,1615,95.711,5.000,1.754,0.570,0.829
8,114,255,0,255,255,255,1056.193,1632.184,1056.193,1632.184,47.113,1050,1624,12,17,18.285,7.938,118.410,0.645,20.248,29070,255,NaN,NaN,100,29070,1050,1624,122.905,9.461,2.303,0.434,0.844
